Country or Area,Year,Count,Rate,Source,Source Type
Australia,2006,281,1.4,CTS/NSO,CJ
Australia,2005,259,1.3,CTS/NSO,CJ
Australia,2004,264,1.3,CTS/NSO,CJ
Australia,2003,302,1.5,CTS/NSO,CJ
Australia,2002,318,1.6,CTS/NSO,CJ
Australia,2001,310,1.6,CTS/NSO,CJ
Australia,2000,302,1.6,CTS/NSO,CJ
Australia,1999,343,1.8,CTS/NSO,CJ
Australia,1998,285,1.5,CTS/NSO,CJ
Australia,1997,321,1.7,CTS/NSO,CJ
Australia,1996,312,1.7,CTS/NSO,CJ
Australia,1995,326,1.8,CTS/NSO,CJ
Austria,2010,53,0.6,CTS/Eurostat,CJ
Austria,2009,43,0.5,CTS/Eurostat,CJ
Austria,2008,45,0.5,CTS/Eurostat,CJ
Austria,2007,45,0.5,CTS/Eurostat,CJ
Austria,2006,61,0.7,CTS/Eurostat,CJ
Austria,2005,54,0.7,CTS/Eurostat,CJ
Austria,2004,59,0.7,CTS/Eurostat,CJ
Austria,2003,50,0.6,CTS/Eurostat,CJ
Austria,2002,65,0.8,CTS/Eurostat,CJ
Austria,2001,70,0.9,CTS/Eurostat,CJ
Austria,2000,82,1,CTS/Eurostat,CJ
Austria,1999,60,0.8,CTS/Eurostat,CJ
Austria,1998,77,1,CTS/Eurostat,CJ
Austria,1997,66,0.8,CTS/Eurostat,CJ
Austria,1996,99,1.2,CTS/Eurostat,CJ
Austria,1995,82,1,CTS/Eurostat,CJ
Azerbaijan,2010,206,2.2,CTS,CJ
Azerbaijan,2008,192,2.1,CTS,CJ
Azerbaijan,2007,189,2.1,CTS,CJ
Bahamas,2010,94,27.4,OAS,CJ
Bahamas,2009,87,25.7,OAS,CJ
Bahamas,2008,72,21.6,OAS,CJ
Bahamas,2007,78,23.7,OAS,CJ
Bahamas,2006,62,19.1,OAS,CJ
Bahamas,2005,52,16.3,OAS,CJ
Bahamas,2004,44,14,OAS,CJ
Bahamas,2003,50,16.1,OAS,CJ
Bahamas,2002,52,17,OAS,CJ
Bahamas,2001,43,14.3,OAS,CJ
Bahamas,2000,74,24.9,OAS,CJ
Bahrain,2008,6,0.6,CTS,CJ
Bahrain,2007,4,0.4,CTS,CJ
Bahrain,2006,7,0.9,CTS,CJ
Bahrain,2005,4,0.6,CTS,CJ
Bahrain,2004,7,1,CTS,CJ
Bahrain,2003,3,0.5,CTS,CJ
Bangladesh,2010,3988,2.7,National police,CJ
Bangladesh,2009,4219,2.9,National police,CJ
Bangladesh,2008,4099,2.8,National police,CJ
Bangladesh,2007,3863,2.7,National police,CJ
Bangladesh,2006,4166,2.9,National police,CJ
Bangladesh,2005,3592,2.6,National police,CJ
Bangladesh,2004,3902,2.8,National police,CJ
Barbados,2010,31,11.3,CTS/OAS,CJ
Barbados,2009,19,7,CTS/OAS,CJ
